,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
0,Yulara,-25.2406,130.9889,89.44,20,0,16.11,AU,1638933398
1,Kasimov,54.9411,41.3953,34.56,100,100,8.93,RU,1638933399
2,Hasaki,35.7333,140.8333,50.4,85,100,39.44,JP,1638933400
3,Kaitangata,-46.2817,169.8464,64.92,76,98,0.76,NZ,1638933400
4,Great Yarmouth,52.6083,1.7305,43.23,75,37,24.61,GB,1638933401
5,Kutum,14.2,24.6667,60.89,22,4,7.7,SD,1638933402
6,Tiksi,71.6872,128.8694,-20.92,94,100,8.12,RU,1638933402
7,Dingle,10.9995,122.6711,75.7,89,100,13.53,PH,1638933403
8,Albany,42.6001,-73.9662,29.68,76,100,2.8,US,1638933169
9,Adrar,20.5022,-10.0711,61.09,19,100,12.01,MR,1638933404
10,Barrow,71.2906,-156.7887,14.02,73,90,24.16,US,1638933404
11,Ilulissat,69.2167,-51.1,10.42,56,72,3.44,GL,1638933405
12,Hobart,-42.8794,147.3294,61.11,60,75,1.99,AU,1638933406
13,Aleppo Governorate,36.25,37.5,49.33,60,0,7.27,SY,1638933406
14,Busselton,-33.65,115.3333,90.05,38,46,8.93,AU,1638933407
15,Hermanus,-34.4187,19.2345,62.91,87,100,13.87,ZA,1638933407
16,Rikitea,-23.1203,-134.9692,75.13,61,94,18.19,PF,1638933408
17,Puerto Ayora,-0.7393,-90.3518,67.95,88,39,6.62,EC,1638933409
18,Jumla,29.2747,82.1838,49.37,25,0,2.98,NP,1638933409
19,Pombia,45.653,8.6336,40.08,70,75,5.75,IT,1638933410
20,Mataura,-46.1927,168.8643,62.47,33,96,7.34,NZ,1638933411
21,Ribeira Grande,38.5167,-28.7,60.69,61,83,10.67,PT,1638933412
22,Mount Isa,-20.7333,139.5,94.77,24,12,10.36,AU,1638933412
23,San Patricio,28.017,-97.5169,66.29,76,31,5.46,US,1638933413
24,East London,-33.0153,27.9116,65.34,88,75,2.3,ZA,1638933413
25,Saint Paul Harbor,57.79,-152.4072,27.91,50,20,31.07,US,1638933414
26,Henties Bay,-22.116,14.2845,58.86,95,3,1.12,NA,1638933415
27,Santa,17.486,120.4348,85.01,65,12,14.47,PH,1638933416
28,Limenaria,40.6261,24.5786,44.94,85,100,11.07,GR,1638933417
29,Chifeng,42.2683,118.9636,38.01,22,100,2.68,CN,1638933417
30,Zhigansk,66.7697,123.3711,-24.83,97,100,15.05,RU,1638933418
31,Copiapó,-27.3667,-70.3333,53.29,56,100,0.87,CL,1638933384
32,Wewak,-3.5534,143.6268,83.75,74,100,1.74,PG,1638933420
33,Daru,-9.0763,143.2092,86.67,64,100,5.75,PG,1638933421
34,Taoudenni,22.6783,-3.9836,59.0,22,88,10.33,ML,1638933421
35,Ostrovnoy,68.0531,39.5131,1.26,92,33,6.51,RU,1638933422
36,São Filipe,14.8961,-24.4956,76.6,68,100,9.57,CV,1638933423
37,Cabo San Lucas,22.8909,-109.9124,75.51,72,1,0.0,MX,1638933326
38,Ushuaia,-54.8,-68.3,42.46,56,20,9.22,AR,1638933177
39,Namatanai,-3.6667,152.4333,83.3,78,89,15.66,PG,1638933424
40,Castro,-24.7911,-50.0119,51.12,94,55,6.69,BR,1638933425
41,Methóni,36.8197,21.7049,50.22,65,95,29.64,GR,1638933425
42,Jamestown,42.097,-79.2353,26.19,84,1,3.0,US,1638933198
43,Xinqing,48.2333,129.5,26.87,75,30,4.07,CN,1638933426
44,Cabedelo,-6.9811,-34.8339,79.47,80,81,11.92,BR,1638933427
45,Karpathos,35.507,27.2132,60.76,67,61,21.85,GR,1638933427
46,Porto-Novo,6.4965,2.6036,82.22,87,52,4.32,BJ,1638933428
47,Sātkhira,22.7167,89.1,75.09,79,0,7.02,BD,1638933429
48,Kahului,20.8947,-156.47,79.86,93,75,11.5,US,1638933429
49,The Valley,18.217,-63.0578,80.46,69,100,20.24,AI,1638933430
50,Bambous Virieux,-20.3428,57.7575,80.85,69,75,10.36,MU,1638933431
51,Westport,41.1415,-73.3579,38.95,69,1,1.01,US,1638933187
52,Cidreira,-30.1811,-50.2056,68.02,64,19,15.86,BR,1638933432
53,Atuona,-9.8,-139.0333,78.76,74,16,16.55,PF,1638933433
54,Hobyo,5.3505,48.5268,77.02,70,97,15.79,SO,1638933434
55,Te Anau,-45.4167,167.7167,62.76,51,100,8.1,NZ,1638933261
56,Katsuura,35.1333,140.3,53.11,91,100,29.89,JP,1638933435
57,Klaksvík,62.2266,-6.589,40.12,79,100,14.81,FO,1638933435
58,Bacolod City,10.6667,122.95,76.96,92,93,14.52,PH,1638933436
59,Port Elizabeth,-33.918,25.5701,61.11,94,75,4.61,ZA,1638933436
60,Mar del Plata,-38.0023,-57.5575,67.08,89,0,3.0,AR,1638933437
61,Kalmunai,7.4167,81.8167,79.92,79,56,7.56,LK,1638933437
62,Zambezi,-13.5432,23.1047,62.98,96,44,2.95,ZM,1638933438
63,Valdemārpils,57.3707,22.5919,18.82,86,57,4.56,LV,1638933438
64,Pavelets,53.7883,39.246,33.12,100,100,5.64,RU,1638933439
65,Cape Town,-33.9258,18.4232,64.11,76,0,5.99,ZA,1638933440
66,Fayaoué,-20.65,166.5333,81.9,75,2,7.16,NC,1638933440
67,Ternate,0.8,127.4,82.4,82,100,7.7,ID,1638933441
68,Alanya,36.5438,31.9998,53.73,79,100,13.13,TR,1638933442
69,Tuktoyaktuk,69.4541,-133.0374,8.6,85,75,10.36,CA,1638933442
70,Smithers,54.7804,-127.1743,21.52,93,90,4.61,CA,1638933443
71,Vaini,-21.2,-175.2,80.76,83,90,6.91,TO,1638933443
72,Provideniya,64.3833,-173.3,8.71,56,90,17.9,RU,1638933444
73,Yellowknife,62.456,-114.3525,-4.59,87,90,14.97,CA,1638933308
74,Gračac,44.3006,15.8547,30.38,76,6,4.41,HR,1638933445
75,Upata,8.0086,-62.3989,69.21,95,98,3.33,VE,1638933445
76,Bathsheba,13.2167,-59.5167,79.41,83,75,19.57,BB,1638933446
77,Esperance,-33.8667,121.9,72.57,44,97,16.02,AU,1638933446
78,Santa Marta,11.2408,-74.199,79.7,76,22,17.13,CO,1638933447
79,Ayan,56.45,138.1667,16.2,57,1,6.29,RU,1638933447
80,Maningrida,-12.0667,134.2667,93.72,47,89,10.2,AU,1638933448
81,Ucluelet,48.9329,-125.5528,47.08,93,100,3.0,CA,1638933448
82,Khatanga,71.9667,102.5,-7.22,95,100,14.7,RU,1638933449
83,Hithadhoo,-0.6,73.0833,82.15,80,100,13.56,MV,1638933450
84,Arraial do Cabo,-22.9661,-42.0278,71.83,80,100,7.83,BR,1638933450
85,Qaanaaq,77.484,-69.3632,10.9,73,100,6.38,GL,1638933451
86,Dikson,73.5069,80.5464,16.59,94,100,26.17,RU,1638933451
87,Port Alfred,-33.5906,26.891,65.91,85,96,10.02,ZA,1638933452
88,Bengkulu,-3.8004,102.2655,83.97,63,91,3.65,ID,1638933452
89,Kapaa,22.0752,-159.319,80.58,78,90,5.75,US,1638933394
90,Mahébourg,-20.4081,57.7,80.89,69,75,10.36,MU,1638933454
91,Bantogon,6.5333,124.0333,83.55,68,63,5.35,PH,1638933455
92,Srednekolymsk,67.45,153.6833,-24.9,98,100,4.38,RU,1638933455
93,Kangaatsiaq,68.3065,-53.4641,17.64,76,48,25.28,GL,1638933457
94,Torbay,47.6666,-52.7314,39.58,78,90,16.11,CA,1638933309
95,Kumul,42.8,93.45,29.34,56,2,4.72,CN,1638933458
96,Butaritari,3.0707,172.7902,82.85,77,88,14.12,KI,1638933458
97,Salalah,17.0151,54.0924,73.49,27,0,8.05,OM,1638933459
98,Inuvik,68.3499,-133.7218,5.86,85,100,4.61,CA,1638933460
99,Ridgecrest,35.6225,-117.6709,59.43,66,90,0.0,US,1638933222
100,Lebu,-37.6167,-73.65,54.23,91,45,7.47,CL,1638933461
101,Oranjemund,-28.55,16.4333,61.02,88,73,11.23,NA,1638933461
102,Black River,18.0264,-77.8487,78.8,84,5,2.8,JM,1638933462
103,Sitka,57.0531,-135.33,37.29,70,90,17.27,US,1638933463
104,Nanortalik,60.1432,-45.2371,27.72,69,100,37.85,GL,1638933463
105,Vostok,46.4856,135.8833,26.02,72,1,2.64,RU,1638933464
106,Montrose,38.4166,-108.2673,28.74,87,16,3.87,US,1638933464
107,Asău,46.4333,26.4,31.39,83,100,5.75,RO,1638933465
108,Karaikudi,10.0667,78.7833,77.74,84,11,9.95,IN,1638933465
109,New Norfolk,-42.7826,147.0587,60.75,34,97,4.38,AU,1638933466
110,Kazygurt,41.7589,69.3864,39.13,57,71,6.78,KZ,1638933467
111,Saint Anthony,45.0205,-93.218,15.73,83,75,0.0,US,1638933468
112,Bluff,-46.6,168.3333,62.8,62,90,5.61,NZ,1638933468
113,Nikolskoye,59.7035,30.7861,10.29,100,93,3.33,RU,1638933469
114,Vila Franca do Campo,37.7167,-25.4333,60.19,71,78,6.35,PT,1638933469
115,Lewiston,44.1003,-70.2148,30.22,75,1,0.0,US,1638933470
116,Saskylakh,71.9167,114.0833,-8.09,95,100,9.69,RU,1638933471
117,Fukuechō,32.6881,128.8419,59.36,55,75,18.41,JP,1638933471
118,Reggio Calabria,38.1105,15.6613,54.81,59,40,5.99,IT,1638933472
119,Avera,33.194,-82.5271,56.71,46,100,3.56,US,1638933473
120,Udangudi,8.4333,78.0167,82.58,78,21,13.02,IN,1638933473
121,Plastun,44.7561,136.2939,37.17,48,0,5.93,RU,1638933474
122,Portland,45.5234,-122.6762,55.85,95,90,3.0,US,1638933266
123,Avarua,-21.2078,-159.775,78.85,89,75,6.91,CK,1638933475
124,Itaguaí,-22.8522,-43.7753,72.59,94,90,2.3,BR,1638933475
125,Banda Aceh,5.5577,95.3222,83.01,71,12,11.21,ID,1638933476
126,Porbandar,21.6422,69.6093,73.38,53,40,9.22,IN,1638933477
127,Una,20.8167,71.0333,73.33,55,0,10.27,IN,1638933477
128,Buraidah,26.326,43.975,52.25,32,69,7.76,SA,1638933478
129,Kudahuvadhoo,2.6708,72.8944,82.18,78,99,11.05,MV,1638933478
130,Thompson,55.7435,-97.8558,-25.44,75,1,0.0,CA,1638933308
131,Tautira,-17.7333,-149.15,78.82,74,40,6.33,PF,1638933479
132,Deputatsky,69.3,139.9,-33.47,93,100,4.45,RU,1638933480
133,Ponta do Sol,32.6667,-17.1,62.01,72,89,2.35,PT,1638933480
134,Saldanha,-33.0117,17.9442,60.87,89,47,15.17,ZA,1638933481
135,Matara,5.9485,80.5353,80.31,74,18,5.28,LK,1638933482
136,Punta Arenas,-53.15,-70.9167,41.11,75,20,11.5,CL,1638933482
137,Hilo,19.7297,-155.09,80.28,40,40,11.5,US,1638933483
138,Arica,-18.475,-70.3042,68.23,68,90,6.91,CL,1638933483
139,Honningsvåg,70.9821,25.9704,22.98,75,0,32.23,NO,1638933484
140,Bredasdorp,-34.5322,20.0403,60.28,88,100,3.44,ZA,1638933485
141,Aranos,-24.1333,19.1167,71.06,30,0,5.08,NA,1638933485
142,Kudat,6.8837,116.8477,85.93,74,20,4.61,MY,1638933486
143,Elko,41.0002,-115.5012,38.64,68,0,5.5,US,1638933487
144,Adjumani,3.3779,31.7909,71.89,42,100,2.33,UG,1638933487
145,Mossendjo,-2.9506,12.7261,69.67,100,100,1.52,CG,1638933489
146,Vieste,41.8825,16.175,44.33,57,3,16.78,IT,1638933489
147,Upernavik,72.7868,-56.1549,13.14,95,100,4.56,GL,1638933490
148,Badvel,14.75,79.05,77.16,77,8,3.0,IN,1638933490
149,Talara,-4.5772,-81.2719,66.56,90,65,13.51,PE,1638933491
150,Anzio,41.4853,12.6179,45.88,59,54,12.68,IT,1638933491
151,Dicabisagan,17.0818,122.4157,76.66,71,80,11.48,PH,1638933492
152,Tasiilaq,65.6145,-37.6368,21.36,58,11,6.46,GL,1638933493
153,Kharan,28.5833,65.4167,50.65,26,0,4.9,PK,1638933493
154,Chara,56.9064,118.2631,12.79,86,94,0.51,RU,1638933494
155,Longkou,37.6508,120.3286,44.62,52,91,4.97,CN,1638933495
156,Wajid,3.8093,43.2471,71.58,83,26,8.88,SO,1638933495
157,Saint George,37.1041,-113.5841,54.36,45,1,3.0,US,1638933387
158,Cherskiy,68.75,161.3,-44.81,99,100,5.57,RU,1638933242
159,Hofn,64.2539,-15.2082,30.85,48,35,9.26,IS,1638933444
160,Nome,64.5011,-165.4064,-0.33,78,1,3.44,US,1638933497
161,Severínia,-20.8094,-48.8028,67.46,69,39,15.75,BR,1638933498
162,Carnarvon,-24.8667,113.6333,78.6,66,1,9.84,AU,1638933252
163,Alice Springs,-23.7,133.8833,85.55,30,2,11.5,AU,1638933498
164,Angoche,-16.2325,39.9086,74.8,90,2,1.03,MZ,1638933499
165,Lima,-12.0432,-77.0282,64.65,82,20,16.11,PE,1638933499
166,Atambua,-9.1061,124.8925,83.44,65,68,3.71,ID,1638933500
167,Shenjiamen,29.9576,122.298,58.77,60,65,9.69,CN,1638933501
168,Nador,35.174,-2.9287,59.25,77,0,9.22,MA,1638933501
169,Gao,16.6362,1.637,68.11,17,75,12.5,ML,1638933502
170,Vila Velha,-20.3297,-40.2925,71.55,87,75,5.99,BR,1638933424
171,Brufut,13.3814,-16.7518,69.89,60,0,5.75,GM,1638933503
172,Severo-Kuril'sk,50.6789,156.125,31.15,61,93,19.86,RU,1638933503
173,Shelton,41.3165,-73.0932,37.96,68,1,0.0,US,1638933352
174,Aklavik,68.2191,-135.0107,5.83,88,100,1.74,CA,1638933504
175,Mandera,3.9366,41.867,78.04,72,21,11.41,KE,1638933505
176,Guarujá,-23.9931,-46.2564,72.9,26,33,1.99,BR,1638933505
177,Port Macquarie,-31.4333,152.9167,76.89,72,56,9.75,AU,1638933506
178,Anadyr,64.75,177.4833,-16.01,75,20,11.01,RU,1638933507
179,Narsaq,60.9167,-46.05,30.42,58,100,21.34,GL,1638933507
180,Port-Gentil,-0.7193,8.7815,79.25,85,100,8.48,GA,1638933508
181,Leningradskiy,69.3833,178.4167,-16.1,81,67,9.69,RU,1638933508
182,Lac-Mégantic,45.5834,-70.8823,19.42,82,87,8.39,CA,1638933509
183,Isangel,-19.55,169.2667,86.11,74,75,2.3,VU,1638933509
184,Mabaruma,8.2,-59.7833,73.58,98,99,2.64,GY,1638933510
185,Prainha,-1.8,-53.48,74.7,97,100,1.81,BR,1638933510
186,Promyshlennaya,54.9159,85.6385,5.95,99,97,5.68,RU,1638933511
187,Lugoba,-6.45,38.3333,70.03,98,75,1.95,TZ,1638933512
188,La Palma,33.8464,-118.0467,61.93,87,20,3.44,US,1638933512
189,Béboto,8.2668,16.939,69.91,32,96,3.15,TD,1638933513
190,Tuatapere,-46.1333,167.6833,62.82,50,100,2.44,NZ,1638933513
191,Saint-Augustin,51.226,-58.6502,19.09,57,10,28.68,CA,1638933514
192,Roald,62.5833,6.1333,36.34,51,33,17.27,NO,1638933514
193,Yantal',56.8471,105.2542,29.05,92,100,10.16,RU,1638933515
194,Norrköping,58.5942,16.1826,26.58,93,90,8.05,SE,1638933251
195,Samaná,19.2056,-69.3369,76.12,85,14,8.23,DO,1638933516
196,Fes,34.0372,-4.9998,46.51,93,2,8.05,MA,1638933516
197,Brae,60.3964,-1.353,42.71,88,100,36.39,GB,1638933517
198,Turka,49.1541,23.0297,17.94,98,100,2.77,UA,1638933518
199,Begusarai,25.4167,86.1333,70.9,49,0,4.74,IN,1638933518
200,Přerov,49.4551,17.4509,30.56,86,59,1.99,CZ,1638933519
201,Clyde River,70.4692,-68.5914,0.27,97,99,6.08,CA,1638933287
202,Norman Wells,65.282,-126.8329,-9.36,77,75,2.3,CA,1638933520
203,Östersund,63.1792,14.6357,15.62,85,90,17.27,SE,1638933521
204,Itarema,-2.9248,-39.9167,81.25,78,97,15.01,BR,1638933521
205,Camocim,-2.9022,-40.8411,80.83,80,70,13.51,BR,1638933522
206,Shādegān,30.6497,48.6647,53.55,37,100,3.24,IR,1638933523
207,Lavrentiya,65.5833,-171.0,0.52,90,63,6.8,RU,1638933523
208,Doha,25.2867,51.5333,67.98,73,0,3.44,QA,1638933524
209,Pangnirtung,66.1451,-65.7125,-4.88,83,17,7.07,CA,1638933525
210,Mapiripán,2.8892,-72.1256,72.99,94,99,2.91,CO,1638933525
211,Saint-Philippe,-21.3585,55.7679,78.39,73,13,10.18,RE,1638933526
212,Manga,11.6636,-1.0731,73.74,18,12,8.08,BF,1638933527
213,Necochea,-38.5473,-58.7368,68.04,66,2,15.97,AR,1638933527
214,George Town,5.4112,100.3354,85.95,62,20,11.5,MY,1638933312
215,San Cristobal,7.7669,-72.225,65.16,89,99,1.39,VE,1638933529
216,Faanui,-16.4833,-151.75,80.8,73,33,2.08,PF,1638933529
217,Zaragoza,41.6561,-0.8773,50.86,62,0,4.0,ES,1638933530
218,Guerrero Negro,27.9769,-114.0611,61.84,81,38,10.0,MX,1638933530
219,Sorong,-0.8833,131.25,84.11,73,93,5.21,ID,1638933531
220,Suamico,44.6319,-88.0393,19.99,82,90,0.0,US,1638933532
221,Caravelas,-17.7125,-39.2481,70.61,96,100,7.27,BR,1638933532
222,Cayhagan,9.6697,122.4256,81.12,80,100,18.61,PH,1638933533
223,Santa Fe,-31.6333,-60.7,77.0,46,0,4.0,AR,1638933534
224,Arrondissement de Saint-Gaudens,43.0833,0.6667,44.51,98,100,4.47,FR,1638933534
225,Borovoy,55.4333,86.0833,6.08,85,90,11.18,RU,1638933535
226,Topolovăţu Mare,45.7739,21.6189,34.02,91,88,5.08,RO,1638933536
227,Pāsighāt,28.0667,95.3333,70.81,64,3,0.83,IN,1638933537
228,Kavaratti,10.5669,72.642,80.11,67,1,8.34,IN,1638933537
229,Mayumba,-3.432,10.6554,75.13,85,100,12.35,GA,1638933538
230,Port Hawkesbury,45.6169,-61.3485,33.91,62,90,8.99,CA,1638933538
231,Atar,20.5169,-13.0499,69.51,13,100,12.15,MR,1638933539
232,Verkhnevilyuysk,63.4453,120.3167,-28.98,99,48,0.47,RU,1638933539
233,Puerto Rico,-26.796,-55.024,69.51,63,0,3.18,AR,1638933540
234,Kaoma,-14.7833,24.8,61.95,94,89,4.94,ZM,1638933540
235,Port-Cartier,50.0334,-66.8654,10.74,75,67,16.98,CA,1638933541
236,Antalaha,-14.9003,50.2788,73.11,77,5,5.01,MG,1638933541
237,Carballo,43.213,-8.691,49.01,84,100,14.72,ES,1638933542
238,Bonavista,48.6499,-53.1147,37.11,57,85,21.25,CA,1638933543
239,Fort Nelson,58.8053,-122.7002,4.59,92,75,2.3,CA,1638933543
240,Grindavik,63.8424,-22.4338,30.67,93,40,11.5,IS,1638933544
241,Niamey,13.5137,2.1098,71.89,18,0,4.61,NE,1638933544
242,Feijó,-8.1642,-70.3536,73.22,98,94,1.57,BR,1638933545
243,Mawlaik,23.6333,94.4167,71.65,77,77,3.15,MM,1638933545
244,Lively,46.4334,-81.1498,13.01,89,82,2.37,CA,1638933546
245,Sa Kaeo,13.75,102.3333,74.5,58,39,7.78,TH,1638933546
246,Shellbrook,53.2168,-106.4011,-11.97,98,100,5.86,CA,1638933547
247,Korla,41.7597,86.1469,31.93,55,100,2.08,CN,1638933547
248,Prata,-19.3072,-48.9242,67.5,76,5,9.57,BR,1638933548
249,Lalibela,12.0333,39.0333,51.42,19,5,4.74,ET,1638933549
250,Nemuro,43.3236,145.575,39.63,62,100,13.42,JP,1638933549
251,Vanimo,-2.6741,141.3028,81.95,85,97,2.98,PG,1638933550
252,Linköping,58.4109,15.6216,28.81,94,90,3.44,SE,1638933550
253,Rawson,-43.3002,-65.1023,56.46,81,100,42.32,AR,1638933399
254,Mount Gambier,-37.8333,140.7667,57.25,50,63,12.84,AU,1638933551
255,Faya,18.3851,42.4509,46.51,79,0,1.52,SA,1638933552
256,Dukat,62.55,155.55,-29.02,94,100,5.03,RU,1638933552
257,Haverfordwest,51.8017,-4.9691,46.17,74,100,13.0,GB,1638933553
258,Khanbari,27.3747,87.2039,62.85,53,0,1.03,NP,1638933553
259,Lompoc,34.6391,-120.4579,57.13,87,1,0.0,US,1638933389
260,Makakilo City,21.3469,-158.0858,77.32,75,1,3.44,US,1638933554
261,Beloha,-25.1667,45.05,73.06,88,6,4.65,MG,1638933555
262,Nioro,13.35,-15.75,74.01,23,83,6.04,GM,1638933487
263,San Juan,-31.5375,-68.5364,81.66,42,1,22.88,AR,1638933510
264,Torrox,36.7579,-3.9523,61.38,71,37,4.0,ES,1638933556
265,Hong Kong,22.2855,114.1577,73.96,58,0,3.0,HK,1638933305
266,Khilok,51.3674,110.4676,21.7,59,73,2.28,RU,1638933557
267,Kayerkan,69.3497,87.7602,-10.48,76,100,9.82,RU,1638933558
268,Porto Santo,33.072,-16.3415,61.3,77,20,0.0,PT,1638933559
269,Loukhi,66.0764,33.0381,19.76,89,99,9.73,RU,1638933559
270,Barela,23.1,80.05,65.21,77,40,4.61,IN,1638933560
271,Mogocha,53.7333,119.7667,14.77,78,23,1.39,RU,1638933560
272,Polis,35.0367,32.4264,62.42,89,96,25.66,CY,1638933561
273,Abu Samrah,35.3029,37.1841,51.08,52,0,6.46,SY,1638933562
274,Mazamari,-11.3258,-74.5308,71.6,86,96,2.01,PE,1638933562
275,Peace River,56.2501,-117.286,23.31,79,90,8.05,CA,1638933550
276,Iralaya,15.0,-83.2333,78.71,87,100,10.49,HN,1638933563
277,Muros,42.7762,-9.0603,51.24,77,99,27.51,ES,1638933564
